# 0 = time (write this way for splash) step: 0
#           x           vx    num    pmass       smooth          rho     pressure       utherm  numngb
     -0.43636            0     87   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.43448            0     88   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.4326            0     89   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.43072            0     90   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.42884            0     91   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.42696            0     92   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.42508            0     93   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.4232            0     94   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.42132            0     95   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.41944            0     96   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.41755            0     97   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.41567            0     98   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.41379            0     99   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.41191            0    100   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.41003            0    101   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.40815            0    102   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.40627            0    103   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.40439            0    104   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.40251            0    105   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.40063            0    106   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.39875            0    107   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.39687            0    108   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.39498            0    109   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.3931            0    110   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.39122            0    111   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.38934            0    112   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.38746            0    113   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.38558            0    114   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.3837            0    115   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.38182            0    116   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.37994            0    117   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.37806            0    118   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.37618            0    119   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.37429            0    120   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.37241            0    121   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.37053            0    122   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.36865            0    123   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.36677            0    124   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.36489            0    125   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.36301            0    126   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.36113            0    127   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.35925            0    128   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.35737            0    129   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.35549            0    130   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.35361            0    131   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.35172            0    132   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.34984            0    133   0.001875        0.015      0.99688      0.99688          2.5      30
